id,NUTS,url,date,cos_dist,loc_normal,latitude,longitude
6718d0bb-97c7-4800-af49-18ab4b893510,DE712,https://www.hna.de/hessen/frau-mit-stichverletzungen-stirbt-partner-festgenommen-zr-92380197.html,2023-07-04,0.20696293,frankfurtmain,50.1109221,8.6821267
671fea46-873c-4260-a9d3-1e0c378c36d0,"DE262, DE26B",https://www.focus.de/panorama/welt/schweinfurt-neue-erkenntnisse-ex-radprofi-toetete-frau-und-legte-feuer_id_10719536.html,2019-05-16,0.22219652,bergrheinfeld,50.0082136,10.1810033
6720b0fe-27fd-4314-b393-39ca4bdb328e,DED41,https://www.welt.de/regionales/sachsen/article191323255/Mordprozess-gegen-Mann-beginnt-nach-Tod-von-Ex-Freundin.html,2019-04-03,0.2123354,chemnitz,50.8282222,12.9208547
6725f2dd-03d5-4604-be04-d3f7bf9268b0,DED41,https://www.welt.de/regionales/sachsen/article240356755/46-Jaehrige-in-Chemnitz-erstochen-Tatverdaechtiger-schweigt.html,2022-08-08,0.21938762,chemnitz,50.8282222,12.9208547
672cfb9b-eb5d-4131-9e17-3d75f5781253,"DE122, DEE01",https://www.sueddeutsche.de/panorama/urteil-vom-bundesgerichtshof-sie-wollte-die-gewalttat-aber-nicht-den-mord-1.4119606,2018-09-06,0.21217175,dessau,51.83081660000001,12.2423302
672d8f68-5dc6-4543-8e7d-af754e46956f,"DEA33, DEA34",http://www.spiegel.de/panorama/justiz/muenster-getoetete-fluechtlingshelferin-in-ahaus-angeklagter-schweigt-in-prozess-a-1162817.html,2017-08-14,0.22425258,ahaus,52.0825322,7.015005700000001
672e42bc-92a7-4b7f-86ae-d40b9e4b2fd3,"DEA22, DEA28",https://www.rnd.de/panorama/frau-starb-nach-gewaltexzess-ehemann-gesteht-totung-LUOVTHUNC4JJXDW3IB55DIAZ4M.html,2021-04-19,0.21807943,euskirchen,50.6574392,6.7899945
672f1ae2-63e3-401e-8427-5ae2a1b5c1dd,"DE403, DE405",https://www.welt.de/regionales/berlin/article203396106/Verdaechtiger-nach-Tod-einer-30-jaehrigen-Frau-festgenommen.html,2019-11-11,0.2033539,eberswalde,52.83713299999999,13.7875871
672f453b-f6a9-44be-9308-b1ca7a11e6ef,"DE263, DE26C",https://www.pnp.de/nachrichten/bayern/ueber-60-hinweise-zu-toetungsdelikt-in-unterfranken-von-1986-14919792,2023-11-30,0.22124663,veitshöchheim,49.8324007,9.8723628
673091f3-739e-4049-a248-a6815f9244ae,"DE262, DE265",https://www.t-online.de/region/id_88161192/prozess-um-erstochene-ex-freundin-beginnt.html,2020-07-02,0.20668381,bad kissingen,50.19862089999999,10.0755912
673455c7-0189-450b-b3a4-d0245a31093e,"DEB33, DEB3E",https://www.zeit.de/news/2018-09/02/urteil-nach-tod-von-15-jaehriger-inkandel-erwartet-180903-99-796297,2018-09-02,0.21289408,kandel,49.0809754,8.1970699
67391166-6aac-48cc-9c4b-2fb1c270e9cb,DE80L,https://www.nnn.de/deutschland-welt/mecklenburg-vorpommern/artikel/mord-in-barth-verdaechtiger-ist-vorbestraft-43359528,2022-10-12,0.20551795,barth,54.3690547,12.7258585
6739fa76-495d-474a-862f-7d1e88000253,"DE501, DE93B",https://www.wolfsburger-nachrichten.de/panorama/article234422299/Tatverdaechtiger-von-Fischerhude-raeumt-toedliche-Schuesse-ein.html,2022-01-27,0.21616326,bremen,53.07929619999999,8.8016937
673cbff3-08a7-45ea-a746-d383e6140253,"DE244, DE24D",https://www.esslinger-zeitung.de/inhalt.wunsiedel-weiterer-verdaechtiger-nach-tod-eines-maedchens-in-kinderheim.7451ba70-b0fe-4b1b-aa1f-f7fd19c7f3ae.html,2023-04-28,0.22362888,hof,50.3135391,11.9127814
673cdfce-6d5f-40b4-96e6-28b55b002ead,DE711,"https://www.morgenweb.de/mannheimer-morgen_artikel,-vermischtes-nach-fund-von-leichenteilen-in-darmstadt-verdaechtiger-in-u-haft-_arid,1379276.html",2019-01-04,0.22366716,darmstadt,49.8728253,8.6511929
67405f7b-caed-4cf4-8504-8a356ae3d395,"DE253, DE254",https://www.infranken.de/lk/fuerth/fuerth-34-jaehriger-ersticht-ehefrau-zu-lebenslanger-haft-verurteilt-art-5686560,2023-05-08,0.2187867,nürnberg,49.45428810000001,11.0745641
67419407-6de3-4e7c-81c3-5bf326e06e0f,"DE123, DEA19, DEA1A",https://www.welt.de/regionales/nrw/article166862540/Leichenfund-im-Mordfall-Hanaa-S-in-Baden-Wuerttemberg.html,2017-07-21,0.21474233,wuppertal,51.2562128,7.150763599999999
6742a7b3-5677-489a-a77d-1bff505b5d6e,"DE111, DE143",https://www.op-online.de/deutschland/toedliche-schuesse-albstadt-frauenleiche-entdeckt-vermisste-20-jaehrige-taeter-polizei-festnahme-zr-91989961.html,2022-12-21,0.22143942,albstadt,48.2137038,9.0234259
6746c72e-8aab-434d-bd6d-c1caef29094c,DE712,https://www.neuepresse.de/Nachrichten/Panorama/Frau-in-Porsche-erschossen-Mutmasslicher-Taeter-stellt-sich-der-Polizei,2019-06-18,0.21679395,frankfurt,50.1109221,8.6821267
67484eed-2be0-4e3d-8de1-6fafa8da40e4,"DE126, DE134",https://www.hna.de/welt/mannheim-33-jaehrige-getoetet-weitere-frau-schwer-verletzt-nimmt-ex-freund-fest-zr-13170541.html?cmp=defrss,2019-10-27,0.21228133,rheinau,48.6610305,7.9369349
674995d3-30ef-4cb3-b7df-12729e8e19c0,DE242,https://www.welt.de/vermischtes/article197304441/Getoetete-Studentin-Sophia-L-Fernfahrer-gesteht-Tat-bei-Prozessauftakt.html,2019-07-23,0.22411893,bayreuth,49.9456399,11.5713346
6749ce7a-4090-4ea8-9cec-2e99d3c3e310,DE22A,https://www.euroherz.de/polizei-frau-getoetet-lebensgefaehrte-stellt-sich-7870099/,2022-07-09,0.2107218,gangkofen,48.4384324,12.5653663
674a8991-31a7-4cef-a19b-cda5cc16dcbc,"DE212, DE21N",https://www.helmstedter-nachrichten.de/panorama/article236896329/weilheim-bayern-vier-tote-bayern-oberbayern-femizid.html,2022-11-12,0.22100616,weilheim,47.84223670000001,11.1427463
674b1787-812a-47bd-9c11-53904d6bee41,"DE11D, DE714",https://www.sueddeutsche.de/news/panorama/prozesse---wiesbaden-mord-vor-mehr-als-20-jahrenplaedoyers-inprozess-erwartet-dpa.urn-newsml-dpa-com-20090101-190410-99-769977,2019-04-10,0.20753716,lorch,48.7982424,9.6898657
