1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
------;Straftaten insgesamt;5316;Leverkusen;KfS;voll.;2,666;1,478;1,188;17;10;7;161;92;69;178;102;76;213;114;99;195;105;90;1,886;1,035;851;194;122;72;2,080;1,157;923
------;Straftaten insgesamt;5334;Aachen;K;voll.;7,567;4,285;3,282;52;32;20;389;217;172;441;249;192;566;301;265;674;405;269;5,359;3,016;2,343;527;314;213;5,886;3,330;2,556
------;Straftaten insgesamt;5358;Düren;K;voll.;3,062;1,753;1,309;25;12;13;175;99;76;200;111;89;285;161;124;246;157;89;2,124;1,198;926;207;126;81;2,331;1,324;1,007
------;Straftaten insgesamt;5362;Rhein-Erft-Kreis;K;voll.;5,510;3,001;2,509;54;27;27;418;222;196;472;249;223;502;276;226;415;222;193;3,772;2,041;1,731;349;213;136;4,121;2,254;1,867
------;Straftaten insgesamt;5366;Euskirchen;K;voll.;2,157;1,209;948;19;9;10;112;56;56;131;65;66;166;90;76;198;130;68;1,504;837;667;158;87;71;1,662;924;738
------;Straftaten insgesamt;5370;Heinsberg;K;voll.;2,577;1,380;1,197;18;10;8;129;68;61;147;78;69;234;124;110;234;136;98;1,802;960;842;160;82;78;1,962;1,042;920
------;Straftaten insgesamt;5374;Oberbergischer Kreis;K;voll.;2,755;1,557;1,198;29;19;10;117;60;57;146;79;67;254;162;92;240;141;99;1,956;1,083;873;159;92;67;2,115;1,175;940
------;Straftaten insgesamt;5378;Rheinisch-Bergischer Kreis;K;voll.;2,465;1,325;1,140;20;8;12;95;54;41;115;62;53;242;138;104;199;100;99;1,692;913;779;217;112;105;1,909;1,025;884
------;Straftaten insgesamt;5382;Rhein-Sieg-Kreis;K;voll.;5,007;2,729;2,278;54;21;33;287;154;133;341;175;166;452;246;206;452;260;192;3,401;1,856;1,545;361;192;169;3,762;2,048;1,714
------;Straftaten insgesamt;5512;Bottrop;KfS;voll.;1,480;806;674;19;9;10;95;51;44;114;60;54;140;72;68;129;80;49;1,003;545;458;94;49;45;1,097;594;503
------;Straftaten insgesamt;5513;Gelsenkirchen;KfS;voll.;4,651;2,519;2,132;60;36;24;335;173;162;395;209;186;416;229;187;318;166;152;3,262;1,763;1,499;260;152;108;3,522;1,915;1,607
------;Straftaten insgesamt;5515;Münster;KfS;voll.;4,282;2,586;1,696;18;9;9;182;98;84;200;107;93;296;166;130;444;283;161;3,127;1,914;1,213;215;116;99;3,342;2,030;1,312
------;Straftaten insgesamt;5554;Borken;K;voll.;3,925;2,153;1,772;38;15;23;253;120;133;291;135;156;399;213;186;336;209;127;2,655;1,464;1,191;244;132;112;2,899;1,596;1,303
------;Straftaten insgesamt;5558;Coesfeld;K;voll.;1,997;1,133;864;21;13;8;126;69;57;147;82;65;252;142;110;207;123;84;1,280;721;559;111;65;46;1,391;786;605
------;Straftaten insgesamt;5562;Recklinghausen;K;voll.;8,357;4,607;3,750;96;53;43;537;286;251;633;339;294;774;399;375;667;395;272;5,725;3,154;2,571;558;320;238;6,283;3,474;2,809
------;Straftaten insgesamt;5566;Steinfurt;K;voll.;4,269;2,391;1,878;39;17;22;273;139;134;312;156;156;416;262;154;404;238;166;2,905;1,605;1,300;232;130;102;3,137;1,735;1,402
------;Straftaten insgesamt;5570;Warendorf;K;voll.;2,567;1,430;1,137;14;9;5;175;89;86;189;98;91;248;146;102;233;136;97;1,765;972;793;132;78;54;1,897;1,050;847
------;Straftaten insgesamt;5711;Bielefeld;KfS;voll.;3,824;2,109;1,715;34;20;14;171;101;70;205;121;84;262;150;112;341;179;162;2,780;1,535;1,245;236;124;112;3,016;1,659;1,357
------;Straftaten insgesamt;5754;Gütersloh;K;voll.;3,243;1,824;1,419;26;9;17;161;85;76;187;94;93;266;156;110;273;160;113;2,339;1,315;1,024;178;99;79;2,517;1,414;1,103
